ent,mun,Sexo,Estatus_Laboral,Total_Personas
30,85.0,Mujer,Trabaja,7884
30,86.0,Hombre,Trabaja,15000
30,86.0,Mujer,Trabaja,5500
30,87.0,Hombre,No Trabaja (Desocupado),1835
30,87.0,Hombre,Trabaja,134195
30,87.0,Mujer,No Trabaja (Desocupado),2285
30,87.0,Mujer,Trabaja,89388
30,91.0,Hombre,Trabaja,32918
30,91.0,Mujer,Trabaja,22627
30,92.0,Hombre,Trabaja,38616
30,92.0,Mujer,Trabaja,22140
30,97.0,Hombre,Trabaja,8690
30,97.0,Mujer,No Trabaja (Desocupado),869
30,97.0,Mujer,Trabaja,9559
30,99.0,Hombre,Trabaja,14375
30,99.0,Mujer,Trabaja,6250
30,101.0,Hombre,No Trabaja (Desocupado),1105
30,101.0,Hombre,Trabaja,32096
30,101.0,Mujer,Trabaja,27181
30,102.0,Hombre,Trabaja,25512
30,102.0,Mujer,No Trabaja (Desocupado),472
30,102.0,Mujer,Trabaja,10864
30,108.0,Hombre,No Trabaja (Desocupado),3532
30,108.0,Hombre,Trabaja,53057
30,108.0,Mujer,No Trabaja (Desocupado),4940
30,108.0,Mujer,Trabaja,37577
30,109.0,Hombre,Trabaja,8136
30,109.0,Mujer,Trabaja,4068
30,115.0,Hombre,Trabaja,51204
30,115.0,Mujer,Trabaja,9756
30,116.0,Hombre,Trabaja,13858
30,116.0,Mujer,Trabaja,9961
30,118.0,Hombre,Trabaja,36241
30,118.0,Mujer,Trabaja,26684
30,119.0,Hombre,No Trabaja (Desocupado),612
30,119.0,Hombre,Trabaja,4284
30,119.0,Mujer,Trabaja,3060
30,122.0,Hombre,Trabaja,19703
30,122.0,Mujer,Trabaja,9333
30,123.0,Hombre,No Trabaja (Desocupado),716
30,123.0,Hombre,Trabaja,3447
30,123.0,Mujer,Trabaja,3598
30,124.0,Hombre,No Trabaja (Desocupado),595
30,124.0,Hombre,Trabaja,44465
30,124.0,Mujer,No Trabaja (Desocupado),1190
30,124.0,Mujer,Trabaja,20785
30,125.0,Hombre,Trabaja,10819
30,125.0,Mujer,Trabaja,3141
30,131.0,Hombre,No Trabaja (Desocupado),2457
30,131.0,Hombre,Trabaja,41149
30,131.0,Mujer,No Trabaja (Desocupado),6222
30,131.0,Mujer,Trabaja,35252
30,133.0,Hombre,No Trabaja (Desocupado),69
30,133.0,Hombre,Trabaja,12278
30,133.0,Mujer,Trabaja,5425
30,135.0,Hombre,Trabaja,24214
30,135.0,Mujer,Trabaja,24623
30,138.0,Hombre,Trabaja,29785
30,138.0,Mujer,Trabaja,25530
30,141.0,Hombre,Trabaja,10346
30,141.0,Mujer,Trabaja,5173
30,142.0,Hombre,Trabaja,17700
30,142.0,Mujer,Trabaja,3540
30,143.0,Hombre,No Trabaja (Desocupado),762
30,143.0,Hombre,Trabaja,15240
30,143.0,Mujer,Trabaja,6096
30,144.0,Hombre,Trabaja,9867
30,144.0,Mujer,Trabaja,10296
30,148.0,Hombre,Trabaja,15824
30,148.0,Mujer,Trabaja,1978
30,154.0,Hombre,Trabaja,18963
30,154.0,Mujer,Trabaja,3612
30,155.0,Hombre,No Trabaja (Desocupado),1043
30,155.0,Hombre,Trabaja,21686
30,155.0,Mujer,Trabaja,12866
30,157.0,Hombre,Trabaja,24488
30,157.0,Mujer,Trabaja,10758
30,158.0,Hombre,Trabaja,18730
30,158.0,Mujer,Trabaja,9099
30,160.0,Hombre,Trabaja,6153
30,160.0,Mujer,Trabaja,3516
